Node 1,Node 2,Relationship
Financials,Paypal,Sector
Financials,Powa,Sector
Financials,Robinhood,Sector
Financials,Santander,Sector
Financials,Social Finance,Sector
Financials,Square,Sector
Financials,State Farm,Sector
Financials,Stripe,Sector
Financials,Visa,Sector
Financials,Wealthfront,Sector
Financials,Wells Fargo,Sector
Financials,Zhong An Online,Sector
Hardware,Apple,Sector
Hardware,Cisco,Sector
Hardware,Dell,Sector
Hardware,DJI,Sector
Hardware,FitBit,Sector
Hardware,Garmin,Sector
Hardware,Google,Sector
Hardware,GoPro,Sector
Hardware,HP,Sector
Hardware,HTC,Sector
Hardware,Infinidot,Sector
Hardware,Jawbone,Sector
Hardware,Lenovo,Sector
Hardware,LG,Sector
Hardware,MicroMax,Sector
Hardware,Mobileye,Sector
Hardware,Razer,Sector
Hardware,Samsung,Sector
Hardware,Seagate,Sector
Hardware,Sony,Sector
Hardware,Xiaomi,Sector
Healthcare,Aetna,Sector
Healthcare,AmerisourceBergen,Sector
Healthcare,Anthem,Sector
Healthcare,Cardinal Health,Sector
Healthcare,CVS Health,Sector
Healthcare,DoctorOnDemand,Sector
Healthcare,ExpressScripts,Sector
Healthcare,HCA,Sector
Healthcare,Intarcia,Sector
Healthcare,Johnson and Johnson,Sector
Healthcare,McKesson,Sector
Healthcare,Moderna,Sector
Healthcare,Oscar Health,Sector
Healthcare,Proteus Digital Health,Sector
Healthcare,Walgreens/Boots Alliance,Sector
Healthcare,ZocDoc,Sector
Hotels/Leisure,AirBnB,Sector
Media,Apple,Sector
Media,CBS,Sector
Media,CBS,Sector
Media,Comcast,Sector
Media,Disney,Sector
Media,Garena Online,Sector
Media,Google,Sector
Media,Kabam,Sector
Media,Legendary Entertainment,Sector
Media,Liberty Global,Sector
Media,Microsoft,Sector
Media,Netflix,Sector
Media,News Corp,Sector
Media,ProseibenSat,Sector
Media,Snapchat,Sector
Media,Softbank,Sector
Media,Sony,Sector
Media,Tencent,Sector
Media,Vivendi,Sector
Media,Yahoo,Sector
Real Estate,WeWork,Sector
Retail/Ecommerce,Alibaba,Sector
Retail/Ecommerce,Amazon,Sector
Retail/Ecommerce,BeiBei,Sector
Retail/Ecommerce,Betfair,Sector
Retail/Ecommerce,BlueApron,Sector
Retail/Ecommerce,ContextLogic (Wish),Sector
Retail/Ecommerce,Coupang,Sector
Retail/Ecommerce,Ebay,Sector
Retail/Ecommerce,Fanatics,Sector
Retail/Ecommerce,Farfetch,Sector
Retail/Ecommerce,FirstDibs,Sector
Retail/Ecommerce,FlipKart,Sector
Retail/Ecommerce,Gilt Group,Sector
Retail/Ecommerce,Groupon,Sector
Retail/Ecommerce,Home24,Sector
Retail/Ecommerce,Honest Company,Sector
Retail/Ecommerce,Houzz,Sector
Retail/Ecommerce,JD.com,Sector
Retail/Ecommerce,JustFab,Sector
Retail/Ecommerce,Koudai Shopping,Sector
Retail/Ecommerce,Lazada Group,Sector
Retail/Ecommerce,LootCrate,Sector
Retail/Ecommerce,Meituan,Sector
Retail/Ecommerce,Mogujie,Sector
Retail/Ecommerce,Quikr,Sector
Retail/Ecommerce,Shopify,Sector
Retail/Ecommerce,SnapDeal,Sector
Retail/Ecommerce,TrendyGroup,Sector
Retail/Ecommerce,Vancl,Sector
Retail/Ecommerce,VIP Shops,Sector
Retail/Ecommerce,Warby Parker,Sector
Retail/Ecommerce,Zullily,Sector
Software,ActIfio,Sector
Software,AppDynamics,Sector
Software,Apple,Sector
Software,Appnexis,Sector
Software,Automattic,Sector
Software,Cloudera,Sector
Software,CloudFlare,Sector
Software,Coupa Software,Sector
Software,Deem,Sector
Software,Docusign,Sector
Software,Domo,Sector
Software,DropBox,Sector
Software,Evernote,Sector
Software,Factual,Sector
Software,Gasbuddy,Sector
Software,Good Technology,Sector
Software,Google,Sector
Software,InMobi,Sector
Software,Insidesales.com,Sector
Software,IronSource,Sector
Software,Jasper Technologies,Sector
Software,Keybase,Sector
Software,Lookout,Sector
Software,MarkLogic,Sector
Software,MongoDB,Sector
Software,MuleSoft,Sector
Software,Nutanix,Sector
Software,Palantir,Sector
Software,PureStorage,Sector
Software,Qualtrics,Sector
Software,SimpliViti,Sector
Software,Slack,Sector
Software,Sprinklr,Sector
Software,Tanium,Sector
Software,Zenefits,Sector
Technology (Other),AirBnB,Sector
Technology (Other),DeliveryHero,Sector
Technology (Other),Dianping,Sector
Technology (Other),EventBrite,Sector
Technology (Other),FanDuel,Sector
Technology (Other),Lamabang,Sector
Technology (Other),NextDoor,Sector
Technology (Other),Pinterest,Sector
Technology (Other),PluralSight,Sector
Technology (Other),Shazam,Sector
Technology (Other),Spotify,Sector
Technology (Other),Tango,Sector
Technology (Other),Uber,Sector
Technology (Other),YelloMobile,Sector
Technology (Other),Zomoto Media,Sector
Transportation,BlaBla,Sector
Transportation,GrabTaxi,Sector
Transportation,Hailo,Sector
Transportation,KDD,Sector
Transportation,Lyft,Sector
Transportation,Navdy,Sector
Transportation,Ola Cabs,Sector
Transportation,Shyp,Sector
Transportation,SpaceX,Sector
Transportation,Uber,Sector
Incumbent,Aetna,Status
Incumbent,AIG,Status
Incumbent,Ally,Status
Incumbent,American Express,Status
Incumbent,AmerisourceBergen,Status
Incumbent,Anthem,Status
Incumbent,ATT,Status
Incumbent,Bank of America,Status
Incumbent,Bharti,Status
Incumbent,BMW,Status
Incumbent,BT,Status
Incumbent,Cardinal Health,Status
Incumbent,CBS,Status
Incumbent,Chase,Status
Incumbent,China Mobile,Status
Incumbent,ChinaCom,Status
Incumbent,ChryslerFiat,Status
Incumbent,Cisco,Status
Incumbent,Citibank,Status
Incumbent,Comcast,Status
Incumbent,CVS Health,Status
Incumbent,Dell,Status
Incumbent,Discover,Status
Incumbent,Disney,Status
Incumbent,DT,Status
Incumbent,Ebay,Status
Incumbent,ExpressScripts,Status
Incumbent,FCA,Status
Incumbent,First Data,Status
Incumbent,Ford,Status
Incumbent,FranceTelecom,Status
Incumbent,Geico,Status
Incumbent,GM,Status
Incumbent,HCA,Status
Incumbent,Honda,Status
Incumbent,HP,Status
Incumbent,HSBC,Status
Incumbent,HTC,Status
Incumbent,Hyundai,Status
Incumbent,Johnson and Johnson,Status
Incumbent,Kia,Status
Incumbent,Lenovo,Status
Incumbent,LG,Status
Incumbent,Liberty Global,Status
Incumbent,Liberty Mutual,Status
Incumbent,MasterCard,Status
Incumbent,McKesson,Status
Incumbent,Mercedes,Status
Incumbent,Microsoft,Status
Incumbent,News Corp,Status
Incumbent,Nissan,Status
Incumbent,Nokia,Status
Incumbent,NTT,Status
Incumbent,Orange,Status
Incumbent,Samsung,Status
Incumbent,Santander,Status
Incumbent,Seagate,Status
Incumbent,Sony,Status
Incumbent,Sprint,Status
Incumbent,State Farm,Status
Incumbent,T-Mobile,Status
Incumbent,Toyota,Status
Incumbent,Verizon,Status
Incumbent,Visa,Status
Incumbent,Vivendi,Status
Incumbent,Vodaphone,Status
Incumbent,VW,Status
Incumbent,Walgreens/Boots Alliance,Status
Incumbent,Wells Fargo,Status
Incumbent,Yahoo,Status
Innovator,ActIfio,Status
Innovator,Adyen,Status
Innovator,AirBnB,Status
Innovator,Akamai,Status
Innovator,Alibaba,Status
Innovator,Amazon,Status
Innovator,AppDynamics,Status
Innovator,Apple,Status
Innovator,Appnexis,Status
Innovator,Automattic,Status
Innovator,Beepi,Status
Innovator,BeiBei,Status
Innovator,Betfair,Status
Innovator,Betterment,Status
Innovator,BlaBla,Status
Innovator,Bloom Energy,Status
Innovator,BlueApron,Status
Innovator,Cloudera,Status
Innovator,CloudFlare,Status
Innovator,ContextLogic (Wish),Status
Innovator,Coupa Software,Status
Innovator,Coupang,Status
Innovator,Credit Karma,Status
Innovator,Deem,Status
Innovator,DeliveryHero,Status
Innovator,Dianping,Status
Innovator,DJI,Status
Innovator,DoctoronDemand,Status
Innovator,Docusign,Status
Innovator,Domo,Status
Innovator,DropBox,Status
Innovator,Dwolla,Status
Innovator,EventBrite,Status
Innovator,Evernote,Status
Innovator,Factual,Status
Innovator,Fanatics,Status
Innovator,FanDuel,Status
Innovator,Farfetch,Status
Innovator,FirstDibs,Status
Innovator,FitBit,Status
Innovator,FlipKart,Status
Innovator,Funding Circle,Status
Innovator,Garena Online,Status
Innovator,Garmin,Status
Innovator,Gasbuddy,Status
Innovator,Gilt Group,Status
Innovator,Good Technology,Status
Innovator,Google,Status
Innovator,GoPro,Status
Innovator,GrabTaxi,Status
Innovator,Groupon,Status
